a	art.一(个，件，...)
tail	n.尾巴；尾部
tailing-off	n. 曳沙带
tailor	n.裁缝
tailoring	n. 裁缝业；缝工
tailwind	n. 顺风
tain	铁片，锡箔
taint	n./v. 玷污，败坏
tainted	 adj. 染污的; 有污点的; 感染的; 腐败的
take	v.拿，取；就座
take a bath	洗个澡；投资失败
take a chance	冒险，投机
take a delight in	以…为乐
take a dislike to	讨厌
take a hand in	参加；帮助
take a look	看一看
take a look at	看一下
take a measure	采取措施
take a message	捎个口信
take a message for	给…捎个信儿
take a no.7 bus	乘七路公共汽车
take a picture	照相
take a seat	坐下
take a taxi	打的
take aback	使吃惊，使吓一跳
take account of sth	考虑到某事
take action	采取行动；提出诉讼
take advantage of	趁…之机，利用；趁
take advice	接受劝告
take after	与…相象；想像；(在外貌，性格等方面)与父母相像
take after sb	像某人
take aim	瞄准
take an active part in	积极参加
take apart	拆开(机器等)
take apart to piece	拆卸(机器)
take as	把…当作为
take away	拿走；夺去，使离去；消除，消耗
take back	带回，收回
take care	小心，照料，保管；当心，注意
take care of	v. 照看，照顾；保管；照料；爱护
take charge	掌管，负责，看管
take charge of	负责；担任
take cover	隐蔽
take delight in	以…为乐
take down	拿下；取下；记下；拆卸；写下
take effect	(药等)见效；生效；起作用
take exception to	提出异议
take exercise	运动
take for	认为，以为；误认为；把…认为是，把…看成为
take for granted	想当然，认为理所当然
take great pains	煞费苦心，花大气力
take great trouble to do something	不辞劳苦地做某事
take heart from	鼓起勇气
take heart of grace	鼓起勇气，打起精神
take hold of	握住，抓住；握
take in	吸收；了解，听懂
take interest in	对…感(产生)兴趣
take into account	把…考虑进去；考虑；重视
take issue with	与…争论
take issue with sb.	与某人争论
take it easy	别着急；别紧张；不紧张；放松；松懈
take it to the top	向上层领导请求
take leave of	向…告别
take lessons	跟人学习
take medicine	吃药；服药
take note of	注意(到)
take notes	记笔记
take notice of	注意，留心
take off	prep. & ad. & a. 离开脱掉；拿走；脱下(衣帽等)；v.起飞；移送；营救；脱掉(衣，帽，鞋等) ；拿掉，带走，脱开
take offence	生气
take on	v.包含；领会；装出；接受；雇用，呈现；承担
take on a new look	呈现新面貌
take on...	与...较量
take one's chance	碰运气，听任命运
take one's measure	量尺寸；打量，估计
take one's place	坐某人的座位；就位，就座；代替某人的职务
take one's temperature	量体温
take one's time	不急；慢慢干
take one's turn	依次，轮流
take oneself off	走开，离去
take opportunity	利用机会
take order to do	采取适当办法去做…
take order with	安排，处理
take out	拿出；去掉；扣除
take out loans	借贷
take over	占据；接任(职位)；代替；接管，接办，代理
take pains	尽力，努力，下苦功
take pains to do sth	尽力去做
take part in	参加；参与；参加…，参与…
take part with	与…站在一边，袒护
take passage on	乘(船等)
take photos	照像，拍照；照相
take place	发生；进行；举行
take pride in	以…自豪；对…感到得意；吹嘘
take sb in	欺骗
take sb off	带走
take sb out	带...出去
take sb. to task	责备某人，申斥某人
take spell	换班，接班
take steps	采取步骤；采取措施
take sth apart	拆开
take sth back	收回；取回
take sth down	记录下来；拆除
take sth in	承接；改小尺寸；领会
take sth into account	考虑到某事
take sth off	除去；取消；减去
take sth on	接受；承担
take sth out	去掉；取得
take sth over	接管
take sth to heart	为某事耿耿于怀
take sth up	拿起；从事；继续；占去
take sth upon oneself	承担；担任
take stock	盘货，点清存货
take stock of	估量；观察
take the lead	为首，领先
take the place of	代替，取代
take the road	出动，动身；走…道路
take the road of	占先，居…之上
take the side of	支持某人(某方)
take this seat	坐这个座位
take thought for	对…担心；对…挂念
take time	不急不忙，从容进行
take to	开始；对…产生好感；耽于；开始喜欢，开始从事
take to one's heels	逃走，逃之夭夭
take to sb	喜欢；养成...习惯
take to sth	喜欢；养成...习惯
take turns	替换；轮流；依次
take up	从事；占去；占据；开始从事；拿起；着手处理；接纳，吸收；付清，承兑收购
take up the struggle	从事斗争
take up with	开始与...来往；同意；赞成；采
take...as	把…理解为；把…当作为
take...as...	把…当做
take...for	(错)当作，(误)认为
take...for example	以…为例
take...for granted	认为…当然
take...out	把…拿出来，取出
take...over	把…翻过不定期；把…翻过来
take-away	adj. & n. (可带走的)熟食
taken	take 的过去分词；拿
taken for a ride	被骗
take-off	n. 起飞
takeover	n.兼并；接收
taker	n. 吃药人
taking	n. 捕获物；adj. 楚楚动人的；迷人的
talc	n. 滑石,云母
talcum	n. 滑石
tale	n.传说；故事
tale quale	n. 按现状
talent	n.天才；才能；人才
talented	adj. 有才能的；天才的；能干的；有天份的，有才干的
talisman	n. 避邪物，护身符
talk	v.说话，谈话
talk about	谈到；谈论；交谈；讲
talk back	回嘴，顶嘴
talk in english	用英语交谈
talk into	说服；劝说某人做某事
talk of	谈到，说到
talk out	把…说透；坦率地谈
talk over	商谈，商量，(充分)讨论；说得同意自己；谈论，议论
talk to	责备
talk up	大声地讲；大胆地讲
talk with	与…交谈，试图说服
talkathon	n.冗长的演说
talkative	a. 喜欢说话的,饶舌的,多嘴的
talker	n. 说话的人,健谈者,饶舌者,空谈者
talking	谈话
tall	adj.高的
tallow	n. 牛脂,动物脂
tally	n.分数，计算，票据
tally cargo	点货
tally company	理货公司
talon	n. 猛禽的锐爪
tamarind	n. 罗望子,其果实
tambourine	n. 铃鼓，手鼓
tame	adj.驯服的
tame birds	家禽
tamer	n. 驯服手
tam-o'-shanter	n. 大黑头巾形帽子
tamp	vt. 砸实；夯实，捣实；n. 夯具
tamper	vi.(with)损害；削弱；窜改；贿赂；vt. 干预； 窜改；玩弄
tan	n.棕褐色 a.棕黄色的
tandem	ad. 前后直排地,纵排地
tang	n. 强烈的味道
tangent	n. 切线
tangential	adj. 切线的，离题的；肤浅的
tangible	adj. 可触摸的
tangle	vt.使缠结，使纠缠
tango	n. 探戈舞
tangsa	坦萨(印度地名)
tank	n.水池；槽
tankard	n. 单柄大酒杯
tanker	n.油船；空中加油飞机
tanner	n. 制革工人
tannery	n. 制革厂,硝皮厂
tannic	a. 丹宁的,得自鞣革的
tannin	n. 单宁酸
tantalize	v. 挑惹，挑逗
tantamount	adj. 与…相等的
tantrum	n. 勃然大怒，脾气发作
tap	vt.&vi.&n.轻叩
tap out	打出；打印出
tape	vt.系，捆
tape recorder	n.磁带录音机
tape-measure	n.皮尺，带尺，卷尺
taper	n.细小的蜡烛；微光
taper off	使逐渐减少
tape-recorder	n. 录音机
tape-recording	n. 录音
tapestry	n. 挂毯，丰富多采的画面
tapeworm	n. 绦虫
tapioca	n. 树薯粉
tapir	n. (动)貘
taproot	n. 主根，直根；根本
taps	 n.  (用作单数)  (美国军中之) 熄灯号音
tapster	n. 酒吧的酒保
tap-talking	敲打的谈话方式
tar	n.柏油，焦油
tarantula	n. 毒蜘蛛之一种
tardiness	n. 缓慢，迟滞，迟延
tardy	adj. 缓慢的，迟缓的
tare	n. 莠草，杂草
target	n.靶，标的；目标
target cost	目标成本，标准成本
target date	预定日期
target return	目标利润
tariff	n. 关税，价目表
tariff act	税法
tariff agreement	关税协定
tariff barrier	关税壁垒
tariff free	免税
tariff war	关税战，报复关税
tarn	n. 山中的小湖或水潭
tarnish	n./v. 失去光泽，晦暗
taro	n. 芋头
tarpaulin	n. 防水布，油布
tarry	v. 耽搁，延迟
tart	adj. 酸的，尖酸的
tartar	n. 酒石,牙垢
task	n.任务，工作，作业
taskmaster	n. 工头
tassel	n. 流苏，穗
taste	vt.尝；尝到 n.味觉
taste of	有…味道(或气息)
tasteful	adj. 有滋味的，好吃的
tasteless	a. 没味道的,无鉴赏力的
tasty	adj.美味的，可口的
tatter	v. 撕碎n. 碎片
tatterdemalion	n. 衣服褴褛的人
tattered	adj.(衣服等)破烂的；衣衫褴褛的，破旧的
tattle	n./v. 闲谈，泄密
tattoo	n. 小马,归营号,得得的连敲声,
tau ceti	鲸鱼座ｔ星
taught	teach的过去式(分词)；教
taunt	v. 嘲笑，讥笑
taupe	n. 暗灰褐色
taut	adj. 拉紧的，绷紧的
tautological	adj. 冗赘的，用语重复的
tautology	n. 同义反复,重复
tavern	n. 小洒店；客栈
tawdry	adj. 低级的，俗的而不值钱的
tawny	a. 黄褐色的,茶色的
tax	vt.抽税 n.税
tax ability	纳税能力
tax articles	应纳税商品
tax bearer	纳税人
tax bureau	税务局
tax collector	n. 税务人员
tax loophole	税法漏洞
tax on	锐，消耗；征税
tax paper	纳税通知书
taxation	n. 课税,征税,租税
tax-free	免税的
taxi	n.出租汽车
taxicab	n. 出租车
taxi-cab	n. 出租汽车
taxi-driver	n. 出租汽车司机
taxonomy	n. (动植物的)分类学
taxpayer	n. 纳税人
tea	n.茶；茶叶；茶树
tea party	茶党
tea room	茶室
teach	vt.讲；教育 vt.教书
teach a lesson	给…一个教训
teach school	教书，当教师
teachable	a. 可教的,听教训的,驯良的
teacher	n.教师
teachers' day	教师节
teaching	n.教学，讲授；教导
teacup	n. 茶杯
teak	n. 柚木，柚木树
teal	n. 水鸭
team	vi.协作，合作
team up	配合，与…协作
teammate	n. 同队队员(队友)；队友
teamster	n. 赶一群牲畜者,卡车驾驶员
teamwork	n. 合作；协同工作
teapot	n. 茶壶,小茶壶
tear	vt.扯开，撕裂
tear down	扯下；拆毁；诋毁
tear off	急速脱掉
tear up	拔出，连根拔起；创；挖；掘；拉掉
tearful	adj.眼泪汪汪的
tease	vt.逗乐，戏弄；强求
teaspoon	n. 茶匙
tea-spoon	n. 茶匙
teaspoonful	 n. 一茶匙的量
teat	n. 奶嘴，乳头
tea-tray	n.茶盘
technical	a.技术的，工艺的
technicality	n. 专门性,学术性,专门的事项
technically	ad. 技术上，技能上
technician	n.技术员，技师
technique	n.技术，技巧；技能
technocrat	n. 技术人员，技术统治
technological	adj. 技术的，工艺的
technology	n.工艺学，工艺，技术
technology trade	技术贸易
technology-intensive	技术密集的
ted	vt. 翻晒；撒，撒开
tedious	a.冗长乏味的，沉闷的
tedium	n. 单调乏味
tee	n. T字,T字形之物,目标,球座,发球处
teem	v. 充满，到处都是v. 倾盆大雨
teem with	富于，充满
teeming	a. 丰富的
teenager	n.青少年
teens	n. 十多岁
teeter	vi. 上下摇摆
teeth	n. 牙(复数)；tooth的复数；齿，牙齿
teethe	vi. 生牙，出乳齿
teetotal	adj. 滴酒不沾的
teheran	n. 德黑兰(伊朗首都)
tele	表示"远"
telecast	n. vt. & vi. 电视广播
telecommunication	n. 电信；通讯，电讯
telefax	n. 传真；v. 发传真
telefilm	n. 电视影片
telegram	n.电报
telegraph	n.电报机；电报
telegraph address	电报挂号
telegraph draft	电汇汇票
telegraph money	电汇款
telegraph transfer	(缩)tt，电汇
telegrapher	n. 电报员
telegraphy	n. 电报，电报学
telelens	长焦距镜头
teleology	n. 目的论,有目的,目的论者
telepathy	n. 心灵感应，精神感应
telephone	n.电话 vi.打电话
telephone to sb.	打电话给某人
telephone-box	n.公用电话亭
telephotograph	n. 传真照片
telescope	n.望远镜
telescopic	a. 用望远镜看到的
television	n.电视；电视机
telex	n.电传，用户电报
tell	v.告诉；讲述
tell about	讲述
tell apart	分辨，区别
tell from	辨别，区别
tell lies	说慌
tell off	斥责；责
tell on	告发；产生效果
tell up	拔出，连根拔起
tell...apart	把…区分开；分辨，区别
tell...from	辨别，分辨；认出
teller	n. 讲话者,告诉者,出纳员
teller's machine	出纳机
telling	a.有效的；有力的
telltale	n. 搬弄是非者,证据
Telstar	n. 通讯卫星
temerarious	a. 不顾一切的,极大胆的
temerity	n. 鲁莽，大胆
tempatation	n. 诱惑，引诱
temper	n.韧度；心情，情绪
temperament	n. 气质,性质,性情
temperamental	adj. 性情的，喜怒无常的
temperance	n. 自制，节制，禁酒
temperate	adj. 自制的
temperate zone	温带
temperature	n.温度
tempest	n. 暴风雨，骚动
tempestuous	adj.狂暴的
template	n. 标准框，样板，模板
temple	n.庙宇；寺院
tempo	n. （动作、生活的）步调，速度
temporal	adj. 时间的，世俗的
temporarily	ad. 暂时地
temporary	adj.暂时的；临时的
temporize	v. 拖延
tempt	vt.引诱，诱惑，劝诱
temptation	n.诱惑，引诱
tempter	n.诱惑者
tempting	a. 引诱人的，吸引人的
temptingly	ad. 迷人地；诱惑地
ten	num.十
ten times larger	大十倍
tenable	adj. 站得住脚的，无懈可击的
tenacious	adj. 坚忍不拔的，固执的
tenacity	n. 坚持，固执
tenancy	n. 租佃,租赁
tenant	n.承担人，房客，佃户
tenantless	 adj. 无人租赁的
tenantry	n.佃户,房客
tend	vt. 护理；照料；照管，趋向；走向；照顾；vi. 倾向于；往往是；走向，趋向；服务；易于
tend to	趋于，倾向于；倾向，趋向
tend toward	倾向，趋向
tendance	n. 照顾,服侍,照料
tendency	n.趋向，趋势，倾向
tendentious	adj. 有偏见的，有倾向的
tender	adj.嫩的；脆弱的
tender bidding	投标
tender bond	投标担保金
tender price	投标价格
tender sum	投票总价
tenderer	投标人
tenderly	adv. 深情地，温存地；娇嫩地；柔和地
tenderness	n. 柔软,亲切,易触痛,敏感
tendon	n. 腱
tendril	n. 卷须,蔓,卷须状之物
tenebrous	adj. 黑暗的，难解的
tenement	n. 房屋,住户,租户,地产
tenet	n. 信念，信条
tenfold	a. 十倍的,十重的
tennessee	田纳西(美国州名)
tennis	n.网球
tennis shoes	n. 网球鞋；跑鞋
tenon	n. 凸榫，榫舌
tenor	n. 男高音，要点，要旨
tens of thousands	好几万
tense	n.时态，时
tensile	a. 张力的；能伸长的；拉力的
tension	n. 紧张,不安,拉紧,电压,压力,
tensive	a. 张力的，引起张力的
ten-speed bicycle	十速自行车
tent	n.帐篷
tentacle	n. 触角
tentative	adj. 试探性的，尝试性的
tentatively	ad. 尝试性地
tenth	num.第十；十分之一
tenth-rate	adj. 最劣等的
tenuous	adj. 细薄的，稀薄的，空洞的
tenure	n. 任期，终身职位
tepee	n. (圆帷形)帐篷
tepid	adj. 微温的
tercentenary	n. & a. 三百年纪念日
tergiversation	n. 搪塞,背叛,变节
terify	vt. 使恐怖，恐吓
term	n.期；学期；条件；词
term bill	期票
term bond	定期债券
term credit	定期信贷
term deposit	定期存款
term insurance	定期保险
term loan	定期贷款
term of acceptance	承兑期限
term of bill	票据日期
term of contract	合同期限
term of validity	有效期限
termagant	adj. 凶悍的，暴躁的n. 悍妇
terminable	adj. 可终止的
terminal	n.计算机终端；线接头
terminal account	终结帐户
terminal building	候机大楼
terminal depot	终点货运站
terminal station	终点站
terminal years	起讫年度
terminate	vt.&vi.停止，终止
terminate a contract	解除合同
terminating	n. 终止，终结，收信
termination	n. 结束；中止
termination allowance	解雇津贴
termination of contract	终止合同
termination of procuration	代理期满
termination of risk	保险责任终止
termination of term	满期
termination slip	(美)解雇通知书
terminology	n.术语学，术语
terminus	n. （火车，汽车）终点站
termite	n. 白蚁
terms	条件，条款
terms as usual	按以前条件，条件照旧
terms of	根据；以…的措词
terms of exchange	交易条件
terms of price	价格条件，价格术语
terms of reference	委任范围，权限
tern	n. 燕鸥
terpsichorean	adj. 舞蹈的
terrace	n.平台，阳台，露台
terraced houses	成排的房屋
terra-cotta	n. 陶瓦,赤土陶器,赤土色
terrain	n. 地势，地形；
terramycin	n. 土霉素
terrapin	n. 泥龟，水龟
terrestrial	adj. 地球的，陆地的
terrible	a.可怕的；极度的
terribly	adv. 可怕地；极坏地；厉害地；极
terrier	n. 狗的一种,国防自卫队,地籍册
terrific	a.可怕的；极大的
terrified	a. 恐惧的
terrify	vt.使恐怖，使惊吓
terrifying	a. 使人害怕的
territorial	a. 领土的
territory	n.领土，版图；领域
terror	n.恐怖，惊骇
terrorism	n. 恐怖主义(行为)
terrorist	n.恐怖分子
terrorize	vt. 使恐怖,恐吓
terror-stricken	a. (受了)惊吓的
terse	adj. 简洁的，简明的
tertian	a. 每三天发生一次的,隔日的
tertiary	a. 第三的,第三位的,第三世纪的
tertiary industry	第三产业
tertiary-industry	n.第三产业
tessellated	adj. 镶嵌花样的
test	n.&vt.测验，考查
test tube	试管
testament	n. 遗嘱，证明
testamentary	a. 遗嘱的,据遗嘱的,遗嘱中有的
testator	n. 立遗嘱之人
tester	n. 考试人,试验装置,天盖,华盖
testificate	证件
testify	v.证明，证实，作证
testify to	证明，证实
testimonial	n. 证明书，奖状
testimony	n. 证言，证明
testing	n. 试验，测试
testing and sampling	检查与抽样
testing certificate	检验证书
test-tube	n. 试管
testy	adj. 性急的，暴躁的
tetanus	n. 破伤风
tether	n. 系绳,系链,界限,范围
tetracycline	n. 四环素
Teuton	n. 条顿人,日耳曼人,德国人
Teutonic	a. 条顿人,条顿语的,日耳曼的
texas	得克萨斯州(美国州名)
text	n.课文；课本
textbook	n.课本，教科书
textile	n.纺织品 a.纺织的
textile mill	n. 纺织厂
textual	adj. 课文的，正文的
texture	n. 质地，结构
thallus	n. 叶状体,扁平体
thames	n. 泰晤士河(英国)
than	conj.比
thane	n. 大乡绅,领主
thank	v.谢谢
thank for	感谢
thank goodness!	谢天谢地！
thank you.	谢谢你。
thankful	adj.感激的，感谢的
thankless	a. 不感谢的,忘恩的,不知感恩的
thanks	n. 谢谢(只用复数)；谢意；感谢；int. 谢谢
thanks to	由于；幸亏；多亏
Thanksgiving	n.感恩节
thanksgiving day	感恩节
that	a.那 pron.那 ad.那样
that is	就是说；即(略为i.e.)
that is to say	那就是说，换句话说
thatch	n. 茅草屋顶，茅草
that's	(同)that is
that's all right.	不必谢；没什么(表示"不用谢")
that's all.	(讲话结束时用语)完了
that's great!	好极了!太好了!
thaumaturgist	n. 魔术师,奇术士
thaw	v. 解冻，溶化
the	art.这(那)个；这些
the accused	被告
the air	n. 空中
the alimentary canal	消化道
the alps	阿尔卑斯山区
the antipodes	n. 澳大利亚和新西兰
the arctic ocean	北冰洋
the asian games	亚运会
the atlantic ocean	大西洋
the award ceremony	颁奖仪式
the balance beam	平衡木
the balance of nature	自然界(生态)平衡
the balkans	n. 巴尔干半岛各国
the baltic	n. 波罗的海
the baltic sea	波罗的海
the bastille	巴士底狱
the bible	n. 基督教《圣经》
the british isles	不列颠诸岛
the british system	英制
the capital cinema	首都影院
the capital of china	中国的首都
the capital stadium	首都体育馆；首都体育场
the children's palace	少年宫
the chinese communist	中国共产党
the chinese's communist party	中国共产党
the Christian era	基督纪元(后)，公元(后)
the christmas rush	圣诞节前夕的抢购热潮
the civil war	南北战争
the coming procession	即将到来的游行
the Conservative Party	英国保守党
the Cotswold Hills	科茨沃尔德丘陵地带
the day after tomorrow	后天
the day before yesterday	前天
the department of education	教育部
the disinherited	n. 被剥夺祖产的人
the do washing	洗衣服
the East End	伦敦东区
the eighth route army	八路军
the elderly	老年人(指65岁以上)
the Elephant Hill	(桂林)象鼻山
the end of the road	路之终点
the english channel	英吉列海峡
the federal institute of technology	联邦工学院
the first floor	第二层楼
the floor exercise	自由体操
the foregoing	前文，前述事项
the former	前者
the front page	(报纸的)头版
the gist	要旨
the globe	n. 环球剧院
the Golden Gate Bridge	金门桥
the great pyramid	大金字塔
the great wall	长城
the Hazelden Foundation	黑佐尔顿基金会
the high dam	高坝
the high jump	跳高
the himalayas	n. 喜马拉雅山脉
the history museum	历史博物馆
the history of the party	党史
the holy office	n. 宗教法庭集会
the indian ocean	印度洋
the inquisition	n. 宗教法庭
the international business letters	国际商务信件
the irish sea	爱尔兰海
the lantern fair	灯会
the last two years	前两年
the latter	pron. 后者
the leading actress	女主角
the left	n. 左翼
the libyan desert	利比亚沙漠(非洲)
the Lijiang River	漓江
the lincoln	林肯一家
the listener	《听众》杂志
the long jump	跳远
the long march	长征
the lord's prayer	主祷文
the manipulated	n. 受人摆布的人
the mass of	大多数，大部分
the matter	麻烦事，毛病
the mediterranean	地中海
the metric system	公制
the ming dynasty	明朝
the moment that	一…就…
the more...the...	越…越…
the most exciting moment	最振奋人心的时刻
the most important invention	最重要的发明
the National Day	国庆节
the nearest neighbour	最近的邻居
the negative	n. 相反的人
the Net	网络
the new deal	新政
the next day	第二天
the next morning	第二天早晨(上午)
the next year	下一年
the nile river nail	尼罗河(非洲)
the nile valley	尼罗河流域
the north pole	北极
the olympic game	奥运会
the olympic games	奥林匹克运动会
the origin of species	《物种起源》
the other day	在不久前某天
the other way round	与之相反
the pacific ocean	太平洋
the people	人民
the people's liberation army	人民解放军
the people's republic of china	中华人民共和国
the pick of	精华，最好部分
the pommel horse	鞍马
the pound sterling	英磅
the present day	现代
the press	n. 报刊(总称)
the prime	首相，丞相；总理
the prime minister	首相，总理
the printing press	印刷机
the profession	同行，同业
the public	公众，民众；公众，民众的
the queen	维多利亚女王
the rank and file	普通士兵们，老百姓们
the rate of success	成功率
the rest	n. 其余的人(东西)
the right	n. 右翼
the roll call	点名
the rush hour	(公共交通)高峰时间；上下班拥挤的时刻
the same ...as	与...一致，与...相同
the same as	与…一致，与…相同的
the same speed	同样的速度
the science museum	自然科学博物馆；科学馆
the sense of touch	触觉
the sphinx	巨大的狮身人面石像
the spring and autumn period	春秋时期
the spring festival	春节
the staff	员工总称
the starting line	起跑线
the states	美国
the suez canal	苏伊士运河
the summer palace	颐和园
the times	《泰晤士报》(英国)
the town council	市议会
the turners	特纳一家
the UK	(=the United Kingdom)英国
the uneven bars	高低杠
the union	联邦(美利坚合众国)
the united nations	联合国
the united states	美利坚合众国，美国
the united states of america	美国
the ural mountains	乌拉尔山脉
the warring states period	战国时期
the working class	工人阶级
the world service	国际广播
the Yangpu bridge	杨浦大桥
the year before	一年前，前一年
the yungting river	永定河
theater	n.戏院,电影院,剧场,全体观众,
theatre	n. 剧场，戏院； (阶梯式)教室；戏剧效果；舞台；剧院(theatre=theater)
theatric	a. 剧场的,夸张的,戏剧性的
theatrical	adj. 戏剧的，矫揉造作的
theatricals	戏剧
theft	n.盗窃，偷窃(行为)
their	pron.他(她、它)们的
theirs	pron.他(她)们的东西
theism	n. 一神论，有神论
them	pron.他(她)们，它们
theme	n.题目；词干；主旋律
themselves	pron.他们自己
then	adv.那么；然后
then and there	当时当地；立刻
thence	adv. 由彼处,从那里
thenceforth	ad. 从那时,其后
thenceforward	ad. 从那时,其后
theocracy	n. 神权政治
theologian	n. 神学者
theological	adj. 神学 (上) 的
theology	n. 神学，宗教
theorem	n.定理；原理，原则
theoretic	a. 理论上的,空谈的
theoretical	a.理论(上)的
theoretically	ad. 从理论上说
theorist	n. 理论家,空谈家
theorize	 vi. 创立理论 
theory	n.理论；原理
theory of falling objects	落体理论
theory of relativity	相对论
theosophy	n. 见神论,接神论,接神学
therapeutic	adj. 治病的
therapist	n. 治疗学家；治疗专家
therapy	n. 治疗；疗法；理疗
there	adv.那儿
there and then	当时当地
there are	有
there is	有，存在
thereabout	ad.在附近，大约
thereabouts	ad. 在那附近，大约
thereafter	ad.此后，以后
thereby	ad.因此，从而，由此
therefor	adv.为此; 因此
therefore	adv.因此；所以
therefrom	ad. 从那里,从此
therein	ad.在那里，在那时
thereof	ad.它的，其；由此
thereon	adv. 关于那
there's	there is；there has
thereto	ad. 对那,往那边,到那
thereupon	ad.因此，于是
therewith	ad. 随其,以其,于是
therewithal	 adv.其外; 此外; 又
thermal	a.热的；温泉的
thermodynamics	n. 热力学
thermometer	n. 温度计,体温计
thermometre	n. 温度计
thermos	n. 热水瓶
thermos bottle	n. 热水瓶
thermostat	n. 恒温机制
thesaurus	n.词典，同类词汇编
these	pron.&adj.这些
these days	现在，如今
these very boys	正是这些孩子
thesis	n.论题，论点；论文
thespian	adj. 戏剧的，演戏的
thews	n.肌肉, 体力
they	pron.他们(她们,它们)
they'll	(同)they will
they're	(同)they are
they've	(同)they have
thiamin	n.硫胺(维生素B1)
thick	adj.厚的；浓的
thicken	vt. 使变厚(或粗、密)； 加厚，变浓
thicket	n. 树丛，灌木丛
thickly	ad. 茂密地；葱葱地；厚厚地；密密地
thickness	n.厚(度)；密(度)
thief	n.窃贼，偷窃犯
thieve	vt. 偷,行窃
thieves	thief的复数；贼
thievish	a. 有偷窃癖的,象盗贼的,偷偷摸摸的
thigh	n.股，大腿
thimble	n. 顶针,嵌环,套管
thin	adj.瘦的
thing	n.事情，东西
think	vt.想；想要；认为
think about	考虑；思考
think better of	对…有更高的评价
think highly of	对…评价很高；对…证价很高
think nothing of	把…看成平常
think of	考虑；关心；想起；看法；记得；认为；想；考虑到
think of...as	把…看作是，以为…是；认为…是
think out	想出；彻底地想一想
think over	仔细考虑
think through	思考…直到得出结论
think twice	重新考虑
think up	发明；设计出
thinkable	adj. 可以想象的
thinker	n. 思想家
thinking	n. 思考；思想；见解
thinly	ad. 薄地；稀疏地
third	num.第三
third world	第三世界
thirdly	ad. 第三
thirst	n.渴，口渴；渴望
thirstily	ad. 口渴地
thirsty	adj.渴的；干燥的
thirsty for	渴望的，热望的
thirteen	num.十三，十三个
thirteenth	num. 第十三,十三分之一
thirtieth	num. 第三十,三十分之一
thirty	num.三十
thirty-three	n. 三十三
this	pron.&adj.这，这个
this afternoon	今天下午
this way, please!	请走这边。
thistle	n. 蓟
thistledown	n. 蓟花的冠毛
thither	a. 对岸的,那边的
tho	ad. & conj. (同)though
thomas edison	托马斯·爱迪生
thong	vt. 装皮带,用皮鞭打
thoracic	a. 胸的
thorax	n. 胸,胸膛,胸腔
thorn	n.刺，棘；荆棘；蒺藜
thorny	a. 有刺的
thorough	a.彻底的；详尽的
thoroughbred	adj. 良种的，纯种的
thoroughfare	n. 通路,大道
thoroughgoing	a. 彻底的
thoroughly	adv. 彻底地；透彻地；充分地；完全地；全面地
those	pron.&adj.那些
thou	pron. (古，诗)汝，尔
though	conj.虽然 ad.可是
thought	n.思想；思维；想法
thoughtful	a.沉思的；体贴的
thoughtfully	adv. 沉思地；深思地；体贴地； 若有所思地
thoughtless	a.欠考虑的；自私的
thousand	num.千
thousands of	成千上万的
thousandth	a. 第一千,千分之一
thrall	n. 奴隶，农奴
thralldom	n. 奴隶的身分,束缚
thrash	vt.痛打，鞭打 vi.打
thrash around	一时拿不定主意
thread	n.线
threadbare	adj. 磨破的，陈腐的
threadlike	a. 丝状的,象丝的,细长的
threat	n.威胁，恐吓，凶兆
threaten	vt.&vi.威胁，恐吓
three	num.三
threefold	a. 三倍的,三重的
threescore	n. 六十,六十岁
three-storeyed	adj. 三层楼的
threnody	n. 挽歌，哀歌
thresh	vt.打谷，脱粒；推敲
thresher	n. 打谷者,打谷机,长尾鲨
threshold	n.门槛；入门，开端
threw	throw的过去式；抛；投掷
thrice	ad. 三倍,三次,屡次,十分地
thrift	n. 节约,繁荣
thriftless	a. 不节俭的,无储蓄心的,浪费的
thrifty	a.节俭的；兴旺的
thrill	vt.&vi.(使)激动
thriller	n. 惊险小说，电影
thrive	vi.兴旺，繁荣，旺盛
thriving	a.繁盛的
throat	n.喉咙
throaty	adj. 嗓子沙哑的
throb	n. （心脏）的跳动，悸动
throbbing	a.跳动的，悸动的
throe	n. 剧痛,阵痛
throes	n. 剧痛
thrombocyte	n. 血小板，凝血细胞
thrombosis	n. 血栓形成
throne	n.宝座，御座；王位
throng	n.群，人群 vt.挤满
throstle	n. 画眉鸟,纺织机的一种
throttle	v. 掐脖子，扼杀，n. 节流阀
through	prep.穿过ad.从头到尾
through bill	联运单据
through cargo	直达货物
through document	全程单据，直达单据
through fare	通票，联票
through train	直达列车
throughout	prep.遍及
throughout night	整夜
throw	vt.&vi.投掷；摔倒
throw about	到处扔；转向航行
throw away	扔掉，抛弃；浪费
throw doubt on	使人对…产生怀疑
throw doubt upon	使人对…产生怀疑
throw it like that	像那样扔出去
throw light on	阐明，使明白
throw light on some thing	阐明
throw light on sth.	解释，阐明
throw off	扔开；匆匆脱掉(衣服)，扔掉，摆脱
throw over	抛弃(计划等)
throw up	抛起；呕出(食物)；呕吐
throw...to...	把…扔给…
thrown	throw的过去分词；抛；投掷
thrum	n. 织边,织余,乱弹,纱头,线头
thrush	n. 画眉,鹅口疮,蹄叉腐疽
thrust	vt.,vi.&n.刺，戳，插
thrust at	用刀，剑等向…猛刺
